"Site","Year","Month","Temp"
"Lake Harris (FL)",2007,10,26.05
"Lake Harris (FL)",2007,11,19.5
"Lake Harris (FL)",2007,12,18.62
"Lake Harris (FL)",2008,1,16.03
"Lake Harris (FL)",2008,2,19.08
"Lake Harris (FL)",2008,3,19.85
"Lake Harris (FL)",2008,4,23.76
"Lake Harris (FL)",2008,5,25.88
"Lake Harris (FL)",2008,6,29.5
"Lake Harris (FL)",2008,7,30.67
"Lake Harris (FL)",2008,8,28.68
"Lake Harris (FL)",2008,9,30.3
"Lake Harris (FL)",2008,10,20.93
"Lake Harris (FL)",2008,11,16.65
"Lake Harris (FL)",2008,12,16.98
"Lake Harris (FL)",2009,1,16.49
"Lake Harris (FL)",2009,2,18.19
"Lake Harris (FL)",2009,3,24.16
"Lake Harris (FL)",2009,4,23.83
"Lake Harris (FL)",2009,5,24.87
"Lake Harris (FL)",2009,6,32
"Lake Harris (FL)",2009,7,31.81
"Lake Harris (FL)",2009,8,29.51
"Lake Harris (FL)",2009,9,30.67
"Lake Harris (FL)",2009,10,29.23
"Lake Harris (FL)",2009,11,21.77
"Lake Harris (FL)",2009,12,18.77
"Lake Harris (FL)",2010,1,8.01
"Lake Harris (FL)",2010,2,11.95
"Lake Harris (FL)",2010,3,14.17
"Lake Harris (FL)",2010,4,21.98
"Lake Harris (FL)",2010,5,26.92
"Lake Harris (FL)",2010,6,29.5
"Lake Harris (FL)",2010,7,29.89
"Lake Harris (FL)",2010,8,29.83
"Lake Harris (FL)",2010,9,28.19
"Lake Harris (FL)",2010,10,25.51
"Lake Harris (FL)",2010,11,24.67
"Lake Harris (FL)",2010,12,13.17
"Lake Harris (FL)",2011,1,13.75
"Lake Harris (FL)",2011,2,16.47
"Lake Harris (FL)",2011,3,21.21
"Lake Harris (FL)",2011,4,22.65
"Lake Harris (FL)",2011,5,26.62
"Lake Harris (FL)",2011,6,28.47
"Lake Harris (FL)",2011,7,29.61
"Lake Harris (FL)",2011,8,29.1
"Lake Harris (FL)",2011,9,28.96
"Lake Harris (FL)",2011,10,24.29
"Lake Harris (FL)",2011,11,19.39
"Lake Harris (FL)",2011,12,18.23
"Lake Harris (FL)",2012,1,15.26
"Lake Harris (FL)",2012,2,19.04
"Lake Harris (FL)",2012,3,19.45
"Lake Harris (FL)",2012,4,24.66
"Lake Harris (FL)",2012,5,27.37
"Lake Harris (FL)",2012,6,27.85
"Lake Harris (FL)",2012,7,30.59
"Lake Harris (FL)",2012,8,29.45
"Lake Harris (FL)",2012,9,28.04
"Lake Harris (FL)",2012,10,25.82
"Lake Harris (FL)",2012,11,19.24
"Lake Harris (FL)",2012,12,20.15
"Lake Harris (FL)",2013,1,19.83
"Lake Harris (FL)",2013,2,18.74
"Lake Harris (FL)",2013,3,16.18
"Lake Harris (FL)",2013,4,24.79
"Lake Harris (FL)",2013,5,24.7
"Lake Harris (FL)",2013,6,28.33
"Lake Harris (FL)",2013,7,28.58
"Lake Harris (FL)",2013,8,31.01
"Lake Harris (FL)",2013,9,30.31
"Lake Harris (FL)",2013,10,25.32
"Lake Harris (FL)",2013,11,21.69
"Lake Harris (FL)",2013,12,21.55
"Lake Harris (FL)",2014,1,15.84
"Lake Harris (FL)",2014,2,16.82
"Lake Harris (FL)",2014,3,19.56
"Lake Harris (FL)",2014,4,23.68
"Lake Harris (FL)",2014,5,26.24
"Lake Harris (FL)",2014,6,30.39
"Lake Harris (FL)",2014,7,30.1
"Lake Harris (FL)",2014,8,29.4
"Lake Harris (FL)",2014,9,31.69
"Lake Harris (FL)",2014,10,26.35
"Lake Harris (FL)",2014,11,19.49
"Lake Harris (FL)",2014,12,16.04
"Lake Harris (FL)",2015,1,15.97
"Lake Harris (FL)",2015,2,15.74
"Lake Harris (FL)",2015,3,24.18
"Lake Harris (FL)",2015,4,26.76
"Lake Harris (FL)",2015,5,27.66
"Lake Harris (FL)",2015,6,30.35
"Lake Harris (FL)",2015,7,29.81
"Lake Harris (FL)",2015,8,27.58
"Lake Harris (FL)",2015,9,28.24
"Lake Harris (FL)",2015,10,26.64
"Lake Harris (FL)",2015,11,NA
"Lake Harris (FL)",2015,12,21.8
"Lake Harris (FL)",2016,1,NA
"Lake Harris (FL)",2016,2,14.93
"Lake Harris (FL)",2016,3,22.07
"Lake Harris (FL)",2016,4,22.53
"Lake Yale (FL)",1999,2,18.11
"Lake Yale (FL)",1999,3,NA
"Lake Yale (FL)",1999,4,NA
"Lake Yale (FL)",1999,5,31.55
"Lake Yale (FL)",1999,6,NA
"Lake Yale (FL)",1999,7,NA
"Lake Yale (FL)",1999,8,NA
"Lake Yale (FL)",1999,9,NA
"Lake Yale (FL)",1999,10,26.45
"Lake Yale (FL)",1999,11,20.17
"Lake Yale (FL)",1999,12,18.42
"Lake Yale (FL)",2000,1,18.57
"Lake Yale (FL)",2000,2,17.51
"Lake Yale (FL)",2000,3,20.47
"Lake Yale (FL)",2000,4,21.37
"Lake Yale (FL)",2000,5,27.25
"Lake Yale (FL)",2000,6,28.34
"Lake Yale (FL)",2000,7,30.13
"Lake Yale (FL)",2000,8,29.29
"Lake Yale (FL)",2000,9,28.3
"Lake Yale (FL)",2000,10,21.63
"Lake Yale (FL)",2000,11,21.36
"Lake Yale (FL)",2000,12,18.73
"Lake Yale (FL)",2001,1,15.4
"Lake Yale (FL)",2001,2,19.52
"Lake Yale (FL)",2001,3,19.28
"Lake Yale (FL)",2001,4,24.99
"Lake Yale (FL)",2001,5,27.88
"Lake Yale (FL)",2001,6,31.33
"Lake Yale (FL)",2001,7,28.99
"Lake Yale (FL)",2001,8,30.55
"Lake Yale (FL)",2001,9,26.36
"Lake Yale (FL)",2001,10,24.13
"Lake Yale (FL)",2001,11,NA
"Lake Yale (FL)",2001,12,23.94
"Lake Yale (FL)",2002,1,13.83
"Lake Yale (FL)",2002,2,NA
"Lake Yale (FL)",2002,3,20.6
"Lake Yale (FL)",2002,4,NA
"Lake Yale (FL)",2002,5,25.71
"Lake Yale (FL)",2002,6,NA
"Lake Yale (FL)",2002,7,28.46
"Lake Yale (FL)",2002,8,NA
"Lake Yale (FL)",2002,9,30.18
"Lake Yale (FL)",2002,10,NA
"Lake Yale (FL)",2002,11,22.87
"Lake Yale (FL)",2002,12,NA
"Lake Yale (FL)",2003,1,14.01
"Lake Yale (FL)",2003,2,15.21
"Lake Yale (FL)",2003,3,23.84
"Lake Yale (FL)",2003,4,22.71
"Lake Yale (FL)",2003,5,29.12
"Lake Yale (FL)",2003,6,29.88
"Lake Yale (FL)",2003,7,29.79
"Lake Yale (FL)",2003,8,31.42
"Lake Yale (FL)",2003,9,28.14
"Lake Yale (FL)",2003,10,24.96
"Lake Yale (FL)",2003,11,22.43
"Lake Yale (FL)",2003,12,13.13
"Lake Yale (FL)",2004,1,15.36
"Lake Yale (FL)",2004,2,17.77
"Lake Yale (FL)",2004,3,20.12
"Lake Yale (FL)",2004,4,23.18
"Lake Yale (FL)",2004,5,26.53
"Lake Yale (FL)",2004,6,29.93
"Lake Yale (FL)",2004,7,30.29
"Lake Yale (FL)",2004,8,30.22
"Lake Yale (FL)",2004,9,28.78
"Lake Yale (FL)",2004,10,25.77
"Lake Yale (FL)",2004,11,21.77
"Lake Yale (FL)",2004,12,14.79
"Lake Yale (FL)",2005,1,15.39
"Lake Yale (FL)",2005,2,19.86
"Lake Yale (FL)",2005,3,19.73
"Lake Yale (FL)",2005,4,22.21
"Lake Yale (FL)",2005,5,27.2
"Lake Yale (FL)",2005,6,29.8
"Lake Yale (FL)",2005,7,31.77
"Lake Yale (FL)",2005,8,34.38
"Lake Yale (FL)",2005,9,28.47
"Lake Yale (FL)",2005,10,22.69
"Lake Yale (FL)",2005,11,24.14
"Lake Yale (FL)",2005,12,14.37
"Lake Yale (FL)",2006,1,17.46
"Lake Yale (FL)",2006,2,20.07
"Lake Yale (FL)",2006,3,22.61
"Lake Yale (FL)",2006,4,26.11
"Lake Yale (FL)",2006,5,27.84
"Lake Yale (FL)",2006,6,31.23
"Lake Yale (FL)",2006,7,32.07
"Lake Yale (FL)",2006,8,31.82
"Lake Yale (FL)",2006,9,29.34
"Lake Yale (FL)",2006,10,25.23
"Lake Yale (FL)",2006,11,18.71
"Lake Yale (FL)",2006,12,18.8
"Lake Yale (FL)",2007,1,18.31
"Lake Yale (FL)",2007,2,16.54
"Lake Yale (FL)",2007,3,19.29
"Lake Yale (FL)",2007,4,21.15
"Lake Yale (FL)",2007,5,25.03
"Lake Yale (FL)",2007,6,28.64
"Lake Yale (FL)",2007,7,30.64
"Lake Yale (FL)",2007,8,31.44
"Lake Yale (FL)",2007,9,28.09
"Lake Yale (FL)",2007,10,26.51
"Lake Yale (FL)",2007,11,19.95
"Lake Yale (FL)",2007,12,19.19
"Lake Yale (FL)",2008,1,16.46
"Lake Yale (FL)",2008,2,20.64
"Lake Yale (FL)",2008,3,21.16
"Lake Yale (FL)",2008,4,22.86
"Lake Yale (FL)",2008,5,26.24
"Lake Yale (FL)",2008,6,NA
"Lake Yale (FL)",2008,7,NA
"Lake Yale (FL)",2008,8,29.54
"Lake Yale (FL)",2008,9,30.8
"Lake Yale (FL)",2008,10,19.39
"Lake Yale (FL)",2008,11,17.06
"Lake Yale (FL)",2008,12,18.71
"Lake Yale (FL)",2009,1,15.55
"Lake Yale (FL)",2009,2,17.12
"Lake Yale (FL)",2009,3,22.18
"Lake Yale (FL)",2009,4,23.25
"Lake Yale (FL)",2009,5,27.61
"Lake Yale (FL)",2009,6,32
"Lake Yale (FL)",2009,7,30.45
"Lake Yale (FL)",2009,8,30.01
"Lake Yale (FL)",2009,9,30.62
"Lake Yale (FL)",2009,10,29.41
"Lake Yale (FL)",2009,11,NA
"Lake Yale (FL)",2009,12,18.61
"Lake Yale (FL)",2010,1,8.37
"Lake Yale (FL)",2010,2,11.98
"Lake Yale (FL)",2010,3,NA
"Lake Yale (FL)",2010,4,NA
"Lake Yale (FL)",2010,5,NA
"Lake Yale (FL)",2010,6,29.34
"Lake Yale (FL)",2010,7,NA
"Lake Yale (FL)",2010,8,30.28
"Lake Yale (FL)",2010,9,NA
"Lake Yale (FL)",2010,10,24.96
"Lake Yale (FL)",2010,11,NA
"Lake Yale (FL)",2010,12,11.08
"Lake Yale (FL)",2011,1,NA
"Lake Yale (FL)",2011,2,16.84
"Lake Yale (FL)",2011,3,22.88
"Lake Yale (FL)",2011,4,NA
"Lake Yale (FL)",2011,5,NA
"Lake Yale (FL)",2011,6,29.5
"Lake Yale (FL)",2011,7,NA
"Lake Yale (FL)",2011,8,NA
"Lake Yale (FL)",2011,9,29.63
"Lake Yale (FL)",2011,10,24.64
"Lake Yale (FL)",2011,11,NA
"Lake Yale (FL)",2011,12,20.05
"Lake Yale (FL)",2012,1,NA
"Lake Yale (FL)",2012,2,19.77
"Lake Yale (FL)",2012,3,NA
"Lake Yale (FL)",2012,4,27
"Lake Yale (FL)",2012,5,NA
"Lake Yale (FL)",2012,6,27.77
"Lake Yale (FL)",2012,7,NA
"Lake Yale (FL)",2012,8,30.62
"Lake Yale (FL)",2012,9,NA
"Lake Yale (FL)",2012,10,26.56
"Lake Yale (FL)",2012,11,NA
"Lake Yale (FL)",2012,12,20.42
"Lake Yale (FL)",2013,1,NA
"Lake Yale (FL)",2013,2,19.34
"Lake Yale (FL)",2013,3,NA
"Lake Yale (FL)",2013,4,23.31
"Lake Yale (FL)",2013,5,NA
"Lake Yale (FL)",2013,6,29.89
"Lake Yale (FL)",2013,7,NA
"Lake Yale (FL)",2013,8,29.27
"Lake Yale (FL)",2013,9,NA
"Lake Yale (FL)",2013,10,26.83
"Lake Yale (FL)",2013,11,NA
"Lake Yale (FL)",2013,12,21.9
"Lake Yale (FL)",2014,1,NA
"Lake Yale (FL)",2014,2,20.02
"Lake Yale (FL)",2014,3,NA
"Lake Yale (FL)",2014,4,21.56
"Lake Yale (FL)",2014,5,NA
"Lake Yale (FL)",2014,6,NA
"Lake Yale (FL)",2014,7,NA
"Lake Yale (FL)",2014,8,29.48
"Lake Yale (FL)",2014,9,NA
"Lake Yale (FL)",2014,10,22.96
"Lake Yale (FL)",2014,11,NA
"Lake Yale (FL)",2014,12,19.87
"Lake Yale (FL)",2015,1,NA
"Lake Yale (FL)",2015,2,16.61
"Lake Yale (FL)",2015,3,NA
"Lake Yale (FL)",2015,4,26.29
"Lake Yale (FL)",2015,5,NA
"Lake Yale (FL)",2015,6,30.64
"Lake Yale (FL)",2015,7,NA
"Lake Yale (FL)",2015,8,30.41
"Lake Yale (FL)",2015,9,NA
"Lake Yale (FL)",2015,10,23.78
"Lake Yale (FL)",2015,11,NA
"Lake Yale (FL)",2015,12,21.64
"Lake Yale (FL)",2016,1,NA
"Lake Yale (FL)",2016,2,18.08
"Lake Yale (FL)",2016,3,NA
"Lake Yale (FL)",2016,4,22.95
"Lake Yale (FL)",2016,5,NA
"Lake Yale (FL)",2016,6,28.15
"Lake Yale (FL)",2016,7,NA
"Lake Yale (FL)",2016,8,31.581
"Lake Greifensee",1984,3,2.9
"Lake Greifensee",1984,4,5.2
"Lake Greifensee",1984,5,10.2
"Lake Greifensee",1984,6,17.9
"Lake Greifensee",1984,7,20.4
"Lake Greifensee",1984,8,19.4
"Lake Greifensee",1984,9,17
"Lake Greifensee",1984,10,15.4
"Lake Greifensee",1984,11,11.6
"Lake Greifensee",1984,12,8
"Lake Greifensee",1985,1,NA
"Lake Greifensee",1985,2,NA
"Lake Greifensee",1985,3,3.7
"Lake Greifensee",1985,4,7.1
"Lake Greifensee",1985,5,11.1
"Lake Greifensee",1985,6,19.3
"Lake Greifensee",1985,7,20.4
"Lake Greifensee",1985,8,NA
"Lake Greifensee",1985,9,21.2
"Lake Greifensee",1985,10,19.8
"Lake Greifensee",1985,11,14.5
"Lake Greifensee",1985,12,6.95
"Lake Greifensee",1986,1,4
"Lake Greifensee",1986,2,NA
"Lake Greifensee",1986,3,NA
"Lake Greifensee",1986,4,4.5
"Lake Greifensee",1986,5,12.7
"Lake Greifensee",1986,6,15
"Lake Greifensee",1986,7,23.5
"Lake Greifensee",1986,8,22.9
"Lake Greifensee",1986,9,20
"Lake Greifensee",1986,10,16.9
"Lake Greifensee",1986,11,14.7
"Lake Greifensee",1986,12,7.95
"Lake Greifensee",1987,1,NA
"Lake Greifensee",1987,2,NA
"Lake Greifensee",1987,3,3.2
"Lake Greifensee",1987,4,6.7
"Lake Greifensee",1987,5,11.76666667
"Lake Greifensee",1987,6,14.65
"Lake Greifensee",1987,7,22.5
"Lake Greifensee",1987,8,19
"Lake Greifensee",1987,9,20.3
"Lake Greifensee",1987,10,15.8
"Lake Greifensee",1987,11,13
"Lake Greifensee",1987,12,7.2
"Lake Greifensee",1988,1,5.7
"Lake Greifensee",1988,2,4.8
"Lake Greifensee",1988,3,4.2
"Lake Greifensee",1988,4,5.2
"Lake Greifensee",1988,5,15.15
"Lake Greifensee",1988,6,17.75
"Lake Greifensee",1988,7,22
"Lake Greifensee",1988,8,23.6
"Lake Greifensee",1988,9,20.3
"Lake Greifensee",1988,10,16.2
"Lake Greifensee",1988,11,10.5
"Lake Greifensee",1988,12,7.1
"Lake Greifensee",1989,1,5.3
"Lake Greifensee",1989,2,4.7
"Lake Greifensee",1989,3,4.5
"Lake Greifensee",1989,4,8.6
"Lake Greifensee",1989,5,9.9
"Lake Greifensee",1989,6,18
"Lake Greifensee",1989,7,21.8
"Lake Greifensee",1989,8,22.3
"Lake Greifensee",1989,9,19.2
"Lake Greifensee",1989,10,13.9
"Lake Greifensee",1989,11,12.4
"Lake Greifensee",1989,12,5.8
"Lake Greifensee",1990,1,4.6
"Lake Greifensee",1990,2,3.6
"Lake Greifensee",1990,3,4.5
"Lake Greifensee",1990,4,8.4
"Lake Greifensee",1990,5,10.7
"Lake Greifensee",1990,6,NA
"Lake Greifensee",1990,7,20.3
"Lake Greifensee",1990,8,21.9
"Lake Greifensee",1990,9,21.9
"Lake Greifensee",1990,10,17
"Lake Greifensee",1990,11,10.1
"Lake Greifensee",1990,12,6.3
"Lake Greifensee",1991,1,4.7
"Lake Greifensee",1991,2,3.7
"Lake Greifensee",1991,3,3.6
"Lake Greifensee",1991,4,5.4
"Lake Greifensee",1991,5,11
"Lake Greifensee",1991,6,14.9
"Lake Greifensee",1991,7,19.8
"Lake Greifensee",1991,8,23.4
"Lake Greifensee",1991,9,22.7
"Lake Greifensee",1991,10,18.2
"Lake Greifensee",1991,11,8.4
"Lake Greifensee",1991,12,5.8
"Lake Greifensee",1992,1,3.9
"Lake Greifensee",1992,2,NA
"Lake Greifensee",1992,3,3.1
"Lake Greifensee",1992,4,5.1
"Lake Greifensee",1992,5,13.45
"Lake Greifensee",1992,6,19
"Lake Greifensee",1992,7,19.8
"Lake Greifensee",1992,8,24.1
"Lake Greifensee",1992,9,20.2
"Lake Greifensee",1992,10,14.8
"Lake Greifensee",1992,11,8.9
"Lake Greifensee",1992,12,6.7
"Lake Greifensee",1993,1,NA
"Lake Greifensee",1993,2,3.5
"Lake Greifensee",1993,3,2.7
"Lake Greifensee",1993,4,4.6
"Lake Greifensee",1993,5,14.3
"Lake Greifensee",1993,6,18.6
"Lake Greifensee",1993,7,21.2
"Lake Greifensee",1993,8,21.65
"Lake Greifensee",1993,9,17.3
"Lake Greifensee",1993,10,14.4
"Lake Greifensee",1993,11,8.5
"Lake Greifensee",1993,12,5.1
"Lake Greifensee",1994,1,4.5
"Lake Greifensee",1994,2,3.8
"Lake Greifensee",1994,3,3.5
"Lake Greifensee",1994,4,7.3
"Lake Greifensee",1994,5,12.3
"Lake Greifensee",1994,6,15.9
"Lake Greifensee",1994,7,22
"Lake Greifensee",1994,8,23
"Lake Greifensee",1994,9,NA
"Lake Greifensee",1994,10,15.3
"Lake Greifensee",1994,11,11.3
"Lake Greifensee",1994,12,8.9
"Lake Greifensee",1995,1,NA
"Lake Greifensee",1995,2,4
"Lake Greifensee",1995,3,4.6
"Lake Greifensee",1995,4,6.1
"Lake Greifensee",1995,5,12
"Lake Greifensee",1995,6,18.1
"Lake Greifensee",1995,7,18.4
"Lake Greifensee",1995,8,24.5
"Lake Greifensee",1995,9,22.3
"Lake Greifensee",1995,10,16.7
"Lake Greifensee",1995,11,10.5
"Lake Greifensee",1995,12,6.2
"Lake Greifensee",1996,1,4.4
"Lake Greifensee",1996,2,2.9
"Lake Greifensee",1996,3,2.8
"Lake Greifensee",1996,4,4.4
"Lake Greifensee",1996,5,14.2
"Lake Greifensee",1996,6,15.2
"Lake Greifensee",1996,7,19
"Lake Greifensee",1996,8,22.4
"Lake Greifensee",1996,9,21.1
"Lake Greifensee",1996,10,14.9
"Lake Greifensee",1996,11,11.15
"Lake Greifensee",1996,12,5.9
"Lake Greifensee",1997,1,NA
"Lake Greifensee",1997,2,NA
"Lake Greifensee",1997,3,3.9
"Lake Greifensee",1997,4,7.1
"Lake Greifensee",1997,5,11.6
"Lake Greifensee",1997,6,17
"Lake Greifensee",1997,7,20.2
"Lake Greifensee",1997,8,23.3
"Lake Greifensee",1997,9,21.9
"Lake Greifensee",1997,10,16.3
"Lake Greifensee",1997,11,10.7
"Lake Greifensee",1997,12,6.6
"Lake Greifensee",1998,1,5.3
"Lake Greifensee",1998,2,3.6
"Lake Greifensee",1998,3,4.2
"Lake Greifensee",1998,4,7.8
"Lake Greifensee",1998,5,11.3
"Lake Greifensee",1998,6,18.5
"Lake Greifensee",1998,7,22.3
"Lake Greifensee",1998,8,24.3
"Lake Greifensee",1998,9,20.65
"Lake Greifensee",1998,10,14
"Lake Greifensee",1998,11,9.9
"Lake Greifensee",1998,12,5.3
"Lake Greifensee",1999,1,3.9
"Lake Greifensee",1999,2,3.3
"Lake Greifensee",1999,3,2.8
"Lake Greifensee",1999,4,4.8
"Lake Greifensee",1999,5,12.2
"Lake Greifensee",1999,6,18
"Lake Greifensee",1999,7,20
"Lake Greifensee",1999,8,22.15
"Lake Greifensee",1999,9,20.9
"Lake Greifensee",1999,10,NA
"Lake Greifensee",1999,11,11.1
"Lake Greifensee",1999,12,5.9
"Lake Greifensee",2000,1,NA
"Lake Greifensee",2000,2,NA
"Lake Greifensee",2000,3,3.6
"Lake Greifensee",2000,4,6.4
"Lake Greifensee",2000,5,19.9
"Lake Greifensee",2000,6,22.3
"Lake Greifensee",2000,7,20.2
"Lake Greifensee",2000,8,19.6
"Lake Greifensee",2000,9,19.4
"Lake Greifensee",2000,10,NA
"Lake Greifensee",2000,11,11.5
"Lake Greifensee",2000,12,7.6
"Lake Greifensee",2001,1,NA
"Lake Greifensee",2001,2,4.74
"Lake Greifensee",2001,3,4.61
"Lake Greifensee",2001,4,6.81
"Lake Greifensee",2001,5,8.27
"Lake Greifensee",2001,6,22.71
"Lake Greifensee",2001,7,22.58
"Lake Greifensee",2001,8,22.07
"Lake Greifensee",2001,9,24.52
"Lake Greifensee",2001,10,14.9
"Lake Greifensee",2001,11,15.26
"Lake Greifensee",2001,12,8.73
"Lake Greifensee",2002,1,5.58
"Lake Greifensee",2002,2,3.32
"Lake Greifensee",2002,3,4.31
"Lake Greifensee",2002,4,6.76
"Lake Greifensee",2002,5,12.2
"Lake Greifensee",2002,6,16.91
"Lake Greifensee",2002,7,24.01
"Lake Greifensee",2002,8,21.91
"Lake Greifensee",2002,9,22.26
"Lake Greifensee",2002,10,18.07
"Lake Greifensee",2002,11,12.75
"Lake Greifensee",2002,12,8.155
"Lake Greifensee",2003,1,NA
"Lake Greifensee",2003,2,4.57
"Lake Greifensee",2003,3,4.12
"Lake Greifensee",2003,4,8.3
"Lake Greifensee",2003,5,NA
"Lake Greifensee",2003,6,16.79
"Lake Greifensee",2003,7,NA
"Lake Greifensee",2003,8,26.29
"Lake Greifensee",2003,9,NA
"Lake Greifensee",2003,10,18.98
"Lake Greifensee",2003,11,12.33
"Lake Greifensee",2003,12,7.515
"Lake Greifensee",2004,1,NA
"Lake Greifensee",2004,2,4.07
"Lake Greifensee",2004,3,3.66
"Lake Greifensee",2004,4,7.21
"Lake Greifensee",2004,5,NA
"Lake Greifensee",2004,6,15.78
"Lake Greifensee",2004,7,19.35
"Lake Greifensee",2004,8,22.51
"Lake Greifensee",2004,9,NA
"Lake Greifensee",2004,10,19.25
"Lake Greifensee",2004,11,12.005
"Lake Greifensee",2004,12,6.38
"Lake Greifensee",2005,1,NA
"Lake Greifensee",2005,2,3.43
"Lake Greifensee",2005,3,3.175
"Lake Greifensee",2005,4,NA
"Lake Greifensee",2005,5,10.05
"Lake Greifensee",2005,6,16.1
"Lake Greifensee",2005,7,22.15
"Lake Greifensee",2005,8,23.59
"Lake Greifensee",2005,9,19.59
"Lake Greifensee",2005,10,18.05
"Lake Greifensee",2005,11,13.535
"Lake Greifensee",2005,12,5.72
"Lake Greifensee",2006,1,NA
"Lake Greifensee",2006,2,NA
"Lake Greifensee",2006,3,3.33
"Lake Greifensee",2006,4,3.16
"Lake Greifensee",2006,5,12.375
"Lake Greifensee",2006,6,18.58
"Lake Greifensee",2006,7,23.96
"Lake Greifensee",2006,8,19.44
"Lake Greifensee",2006,9,21.09
"Lake Greifensee",2006,10,16.38
"Lake Greifensee",2006,11,12.85
"Lake Greifensee",2006,12,9.29
"Lake Greifensee",2007,1,NA
"Lake Greifensee",2007,2,5.465
"Lake Greifensee",2007,3,6.42
"Lake Greifensee",2007,4,11.52
"Lake Greifensee",2007,5,16.74
"Lake Greifensee",2007,6,21.62
"Lake Greifensee",2007,7,20.15
"Lake Greifensee",2007,8,23
"Lake Greifensee",2007,9,18.31
"Lake Greifensee",2007,10,17.05
"Lake Greifensee",2007,11,10.74
"Lake Greifensee",2007,12,6.52
"Lake Greifensee",2008,1,3.94
"Lake Greifensee",2008,2,3.83
"Lake Greifensee",2008,3,5.02
"Lake Greifensee",2008,4,8.01
"Lake Greifensee",2008,5,18.22
"Lake Greifensee",2008,6,18.98
"Lake Greifensee",2008,7,21.33
"Lake Greifensee",2008,8,22.97
"Lake Greifensee",2008,9,18.53
"Lake Greifensee",2008,10,14.79
"Lake Greifensee",2008,11,10.67
"Lake Greifensee",2008,12,6.56
"Lake Greifensee",2009,1,NA
"Lake Greifensee",2009,2,3.11
"Lake Greifensee",2009,3,2.89
"Lake Greifensee",2009,4,9.58
"Lake Greifensee",2009,5,16.54
"Lake Greifensee",2009,6,20.9
"Lake Greifensee",2009,7,21.3
"Lake Greifensee",2009,8,NA
"Lake Greifensee",2009,9,20.24
"Lake Greifensee",2009,10,NA
"Lake Greifensee",2009,11,12.62
"Lake Greifensee",2009,12,7.87
"Lake Greifensee",2010,1,3.78
"Lake Greifensee",2010,2,2.56
"Lake Greifensee",2010,3,2.8
"Lake Greifensee",2010,4,8.25
"Lake Greifensee",2010,5,12.94
"Lake Greifensee",2010,6,19.44
"Lake Greifensee",2010,7,24.43
"Lake Greifensee",2010,8,20.24
"Lake Greifensee",2010,9,17.14
"Lake Greifensee",2010,10,NA
"Lake Greifensee",2010,11,11.845
"Lake Greifensee",2010,12,6.54
"Lake Greifensee",2011,1,4.08
"Lake Greifensee",2011,2,3.59
"Lake Greifensee",2011,3,3.85
"Lake Greifensee",2011,4,8.99
"Lake Greifensee",2011,5,NA
"Lake Greifensee",2011,6,20.24
"Lake Greifensee",2011,7,22.98
"Lake Greifensee",2011,8,21.74
"Lake Greifensee",2011,9,21.24
"Lake Greifensee",2011,10,16.19
"Lake Greifensee",2011,11,11.95
"Lake Greifensee",2011,12,7.58
"Lake Greifensee",2012,1,5.2
"Lake Greifensee",2012,2,NA
"Lake Greifensee",2012,3,3.7
"Lake Greifensee",2012,4,10.5
"Lake Greifensee",2012,5,13.7
"Lake Greifensee",2012,6,19.3
"Lake Greifensee",2012,7,22.5
"Lake Greifensee",2012,8,23.9
"Lake Greifensee",2012,9,19.6
"Lake Greifensee",2012,10,16.6
"Lake Greifensee",2012,11,11.5
"Lake Greifensee",2012,12,6.6
"Lake Greifensee",2013,1,5.3
"Lake Greifensee",2013,2,4.1
"Lake Greifensee",2013,3,3.2
"Lake Greifensee",2013,4,4.5
"Lake Greifensee",2013,5,13.6
"Lake Greifensee",2013,6,12.7
"Lake Greifensee",2013,7,18.3
"Lake Greifensee",2013,8,25
"Lake Greifensee",2013,9,20.6
"Lake Greifensee",2013,10,15.8
"Lake Greifensee",2013,11,12.5
"Lake Greifensee",2013,12,6.9
"Lake Greifensee",2014,1,4.25
"Lake Greifensee",2014,2,4.4
"Lake Greifensee",2014,3,5.3
"Lake Greifensee",2014,4,12.6
"Lake Greifensee",2014,5,13.3
"Lake Greifensee",2014,6,18
"Lake Greifensee",2014,7,22.1
"Lake Greifensee",2014,8,21.7
"Lake Greifensee",2014,9,18.8
"Lake Greifensee",2014,10,17.7
"Lake Greifensee",2014,11,13.8
"Lake Greifensee",2014,12,9.9
"Lake Greifensee",2015,1,5.6
"Lake Greifensee",2015,2,4.5
"Lake Greifensee",2015,3,3.9
"Lake Greifensee",2015,4,10
"Lake Greifensee",2015,5,13.9
"Lake Greifensee",2015,6,18.9
"Lake Greifensee",2015,7,27.2
"Lake Greifensee",2015,8,22.3
"Lake Greifensee",2015,9,19.6
"Lake Greifensee",2015,10,15.5
"Lake Greifensee",2015,11,12.4
"Lake Greifensee",2015,12,8.6
"Lake Greifensee",2016,1,NA
"Lake Greifensee",2016,2,NA
"Lake Greifensee",2016,3,NA
"Lake Greifensee",2016,4,NA
"Lake Greifensee",2016,5,NA
"Lake Greifensee",2016,6,NA
"Lake Mendota (WI)",1976,2,1
"Lake Mendota (WI)",1976,3,NA
"Lake Mendota (WI)",1976,4,6.33333333333333
"Lake Mendota (WI)",1976,5,15.0333333333333
"Lake Mendota (WI)",1976,6,18.8333333333333
"Lake Mendota (WI)",1976,7,22.725
"Lake Mendota (WI)",1976,8,22.25
