"Site","Name","Level","Frequency","Period","Power"
"Blelham Tarn (UK)","Chla","Total",0.260869565217391,3.83333333333333,0.0632131979784202
"Blelham Tarn (UK)","Chla","Total",0.264492753623188,3.78082191780822,0.145592173070145
"Blelham Tarn (UK)","Chla","Total",0.268115942028986,3.72972972972973,0.0370448833714632
"Blelham Tarn (UK)","Chla","Total",0.271739130434783,3.68,0.094184812216068
"Blelham Tarn (UK)","Chla","Total",0.27536231884058,3.63157894736842,0.101631819060714
"Blelham Tarn (UK)","Chla","Total",0.278985507246377,3.58441558441558,0.123231096226008
"Blelham Tarn (UK)","Chla","Total",0.282608695652174,3.53846153846154,0.129606917419918
"Blelham Tarn (UK)","Chla","Total",0.286231884057971,3.49367088607595,0.0605107509843851
"Blelham Tarn (UK)","Chla","Total",0.289855072463768,3.45,0.179181633314045
"Blelham Tarn (UK)","Chla","Total",0.293478260869565,3.40740740740741,0.150462370568797
"Blelham Tarn (UK)","Chla","Total",0.297101449275362,3.36585365853659,0.0821460251395737
"Blelham Tarn (UK)","Chla","Total",0.300724637681159,3.32530120481928,0.106458720570346
"Blelham Tarn (UK)","Chla","Total",0.304347826086957,3.28571428571429,0.109531487724556
"Blelham Tarn (UK)","Chla","Total",0.307971014492754,3.24705882352941,0.0309150726753769
"Blelham Tarn (UK)","Chla","Total",0.311594202898551,3.2093023255814,0.115002644848247
"Blelham Tarn (UK)","Chla","Total",0.315217391304348,3.17241379310345,0.0139551281147378
"Blelham Tarn (UK)","Chla","Total",0.318840579710145,3.13636363636364,0.0682826425376947
"Blelham Tarn (UK)","Chla","Total",0.322463768115942,3.10112359550562,0.129608095293002
"Blelham Tarn (UK)","Chla","Total",0.326086956521739,3.06666666666667,0.0648430567262667
"Blelham Tarn (UK)","Chla","Total",0.329710144927536,3.03296703296703,0.0445979552838207
"Blelham Tarn (UK)","Chla","Total",0.333333333333333,3,0.13053825956106
"Blelham Tarn (UK)","Chla","Total",0.33695652173913,2.96774193548387,0.0916834639926832
"Blelham Tarn (UK)","Chla","Total",0.340579710144928,2.93617021276596,0.0575695900000146
"Blelham Tarn (UK)","Chla","Total",0.344202898550725,2.90526315789474,0.111701906186592
"Blelham Tarn (UK)","Chla","Total",0.347826086956522,2.875,0.118329377355508
"Blelham Tarn (UK)","Chla","Total",0.351449275362319,2.84536082474227,0.0397215639014793
"Blelham Tarn (UK)","Chla","Total",0.355072463768116,2.81632653061224,0.0521048294642166
"Blelham Tarn (UK)","Chla","Total",0.358695652173913,2.78787878787879,0.0958013745560723
"Blelham Tarn (UK)","Chla","Total",0.36231884057971,2.76,0.0631048687748999
"Blelham Tarn (UK)","Chla","Total",0.365942028985507,2.73267326732673,0.0851120562103469
"Blelham Tarn (UK)","Chla","Total",0.369565217391304,2.70588235294118,0.0163847560022347
"Blelham Tarn (UK)","Chla","Total",0.373188405797101,2.67961165048544,0.147316607034836
"Blelham Tarn (UK)","Chla","Total",0.376811594202899,2.65384615384615,0.0724546312870419
"Blelham Tarn (UK)","Chla","Total",0.380434782608696,2.62857142857143,0.0935658859589648
"Blelham Tarn (UK)","Chla","Total",0.384057971014493,2.60377358490566,0.101823128439237
"Blelham Tarn (UK)","Chla","Total",0.38768115942029,2.57943925233645,0.069183996285848
